conv_model, A:1024, B:1024, blk_row:3, blk_col:3, run_us:18084.962000, iter:1
conv_model, A:1024, B:1024, blk_row:3, blk_col:3, run_us:17738.862000, iter:1
conv_model, A:1024, B:1024, blk_row:3, blk_col:3, run_us:18412.104000, iter:1
conv_model, A:1024, B:1024, blk_row:3, blk_col:3, run_us:18122.242000, iter:1
conv_model, A:2048, B:2048, blk_row:3, blk_col:3, run_us:77044.954000, iter:1
conv_model, A:1024, B:1024, blk_row:3, blk_col:3, run_us:0.000000, iter:1
conv_model, A:1024, B:1024, blk_row:3, blk_col:3, run_us:0.000000, iter:1
conv_model, A:1024, B:1024, blk_row:3, blk_col:3, run_us:0.000000, iter:1
conv_model, A:1024, B:1024, blk_row:3, blk_col:3, run_us:0.000000, iter:1
conv_model, A:4096, B:4096, blk_row:3, blk_col:3, run_us:0.000000, iter:1
conv_model, A:2048, B:2048, blk_row:3, blk_col:3, run_us:0.000000, iter:1
conv_model, A:2048, B:2048, blk_row:3, blk_col:3, run_us:0.000000, iter:1
conv_model, A:2048, B:2048, blk_row:3, blk_col:3, run_us:0.000000, iter:1
conv_model, A:1024, B:1024, blk_row:3, blk_col:3, run_us:0.000000, iter:1
conv_model, A:4096, B:4096, blk_row:3, blk_col:3, run_us:0.000000, iter:1
conv_model, A:8192, B:8192, blk_row:3, blk_col:3, run_us:0.000000, iter:1
conv_model, A:1024, B:1024, blk_row:3, blk_col:3, run_us:0.000000, iter:1
conv_model, A:1024, B:1024, blk_row:3, blk_col:3, run_us:17639.160000, iter:1
conv_model, A:4096, B:4096, blk_row:3, blk_col:3, run_us:293332.441000, iter:1
conv_model, A:4096, B:4096, blk_row:3, blk_col:3, run_us:293433.489000, iter:1
conv_model, A:1024, B:1024, blk_row:3, blk_col:3, run_us:18069.416000, iter:1
conv_model, A:2048, B:2048, blk_row:3, blk_col:3, run_us:76261.966000, iter:1
conv_model, A:4096, B:4096, blk_row:3, blk_col:3, run_us:295526.676000, iter:1
conv_model, A:4096, B:4096, blk_row:3, blk_col:3, run_us:295848.803000, iter:1
conv_model, A:2048, B:2048, blk_row:3, blk_col:3, run_us:76241.825000, iter:1
conv_model, A:4096, B:4096, blk_row:3, blk_col:3, run_us:296154.809000, iter:1
conv_model, A:4096, B:4096, blk_row:3, blk_col:3, run_us:297695.318000, iter:1
conv_model, A:8192, B:8192, blk_row:3, blk_col:3, run_us:1167746.117000, iter:1
conv_model, A:8192, B:8192, blk_row:3, blk_col:3, run_us:1097093.858000, iter:1
conv_model, A:8192, B:8192, blk_row:3, blk_col:3, run_us:1032994.245000, iter:1
conv_model, A:8192, B:8192, blk_row:3, blk_col:3, run_us:1035164.717000, iter:1
conv_model, A:8192, B:8192, blk_row:3, blk_col:3, run_us:1053866.808000, iter:1
conv_model, A:8192, B:8192, blk_row:3, blk_col:3, run_us:1035713.919000, iter:1
conv_model, A:8192, B:8192, blk_row:3, blk_col:3, run_us:1036037.447000, iter:1
conv_model, A:8192, B:8192, blk_row:3, blk_col:3, run_us:1047257.117000, iter:1
conv_model, A:8192, B:8192, blk_row:3, blk_col:3, run_us:1036912.687000, iter:1
conv_model, A:4096, B:4096, blk_row:3, blk_col:3, run_us:273141.596000, iter:1
conv_model, A:4096, B:4096, blk_row:3, blk_col:3, run_us:274567.937000, iter:1
conv_model, A:1024, B:1024, blk_row:3, blk_col:3, run_us:17937.345000, iter:1
conv_model, A:1024, B:1024, blk_row:3, blk_col:3, run_us:17932.105000, iter:1
conv_model, A:1024, B:1024, blk_row:3, blk_col:3, run_us:17917.577000, iter:1
conv_model, A:8192, B:8192, blk_row:3, blk_col:3, run_us:1080814.075000, iter:1
conv_model, A:4096, B:4096, blk_row:3, blk_col:3, run_us:275419.090000, iter:1
conv_model, A:4096, B:4096, blk_row:3, blk_col:3, run_us:273965.102000, iter:1
conv_model, A:4096, B:4096, blk_row:3, blk_col:3, run_us:261184.069000, iter:1
conv_model, A:4096, B:4096, blk_row:3, blk_col:3, run_us:273921.043000, iter:1
conv_model, A:4096, B:4096, blk_row:3, blk_col:3, run_us:262553.202000, iter:1
conv_model, A:4096, B:4096, blk_row:3, blk_col:3, run_us:257972.119000, iter:1
conv_model, A:4096, B:4096, blk_row:3, blk_col:3, run_us:263866.044000, iter:1
conv_model, A:4096, B:4096, blk_row:3, blk_col:3, run_us:260254.584000, iter:1
conv_model, A:4096, B:4096, blk_row:3, blk_col:3, run_us:273403.547000, iter:1
conv_model, A:4096, B:4096, blk_row:3, blk_col:3, run_us:266408.021000, iter:1
conv_model, A:1024, B:1024, blk_row:3, blk_col:3, run_us:17688.785000, iter:1
conv_model, A:1024, B:1024, blk_row:3, blk_col:3, run_us:18148.517000, iter:1
conv_model, A:1024, B:1024, blk_row:3, blk_col:3, run_us:17341.548000, iter:1
conv_model, A:4096, B:4096, blk_row:3, blk_col:3, run_us:273610.508000, iter:1
conv_model, A:1024, B:1024, blk_row:3, blk_col:3, run_us:17828.171000, iter:1
conv_model, A:4096, B:4096, blk_row:3, blk_col:3, run_us:271397.843000, iter:1
conv_model, A:1024, B:1024, blk_row:3, blk_col:3, run_us:17139.839000, iter:1
conv_model, A:4096, B:4096, blk_row:3, blk_col:3, run_us:271178.222000, iter:1
conv_model, A:1024, B:1024, blk_row:3, blk_col:3, run_us:17957.010000, iter:1
conv_model, A:4096, B:4096, blk_row:3, blk_col:3, run_us:272592.521000, iter:1
conv_model, A:1024, B:1024, blk_row:3, blk_col:3, run_us:17729.855000, iter:1
conv_model, A:1024, B:1024, blk_row:3, blk_col:3, run_us:18058.471000, iter:1
conv_model, A:1024, B:1024, blk_row:3, blk_col:3, run_us:18406.774000, iter:1
conv_model, A:4096, B:4096, blk_row:3, blk_col:3, run_us:271028.489000, iter:1
conv_model, A:4096, B:4096, blk_row:3, blk_col:3, run_us:272386.876000, iter:1
conv_model, A:4096, B:4096, blk_row:3, blk_col:3, run_us:270642.046000, iter:1
conv_model, A:4096, B:4096, blk_row:3, blk_col:3, run_us:272157.035000, iter:1
conv_model, A:4096, B:4096, blk_row:3, blk_col:3, run_us:271680.499000, iter:1
conv_model, A:1024, B:1024, blk_row:3, blk_col:3, run_us:18107.601000, iter:1
conv_model, A:1024, B:1024, blk_row:3, blk_col:3, run_us:17639.123000, iter:1
conv_model, A:4096, B:4096, blk_row:3, blk_col:3, run_us:272103.910000, iter:1
conv_model, A:1024, B:1024, blk_row:3, blk_col:3, run_us:17906.103000, iter:1
conv_model, A:1024, B:1024, blk_row:3, blk_col:3, run_us:17546.359000, iter:1
conv_model, A:1024, B:1024, blk_row:3, blk_col:3, run_us:17858.825000, iter:1
conv_model, A:4096, B:4096, blk_row:3, blk_col:3, run_us:269916.460000, iter:1
conv_model, A:8192, B:8192, blk_row:3, blk_col:3, run_us:1098369.464000, iter:1
conv_model, A:1024, B:1024, blk_row:3, blk_col:3, run_us:18155.145000, iter:1
conv_model, A:1024, B:1024, blk_row:3, blk_col:3, run_us:18072.090000, iter:1
conv_model, A:4096, B:4096, blk_row:3, blk_col:3, run_us:274056.382000, iter:1
conv_model, A:1024, B:1024, blk_row:3, blk_col:3, run_us:18374.788000, iter:1
conv_model, A:1024, B:1024, blk_row:3, blk_col:3, run_us:18111.353000, iter:1
conv_model, A:4096, B:4096, blk_row:3, blk_col:3, run_us:273111.249000, iter:1
conv_model, A:4096, B:4096, blk_row:3, blk_col:3, run_us:272783.165000, iter:1
conv_model, A:2048, B:2048, blk_row:3, blk_col:3, run_us:68506.627000, iter:1
conv_model, A:8192, B:8192, blk_row:3, blk_col:3, run_us:1079482.172000, iter:1
conv_model, A:16384, B:16384, blk_row:3, blk_col:3, run_us:4236117.173000, iter:1
conv_model, A:8192, B:8192, blk_row:3, blk_col:3, run_us:1076595.773000, iter:1
conv_model, A:1024, B:1024, blk_row:3, blk_col:3, run_us:18631.037000, iter:1
conv_model, A:1024, B:1024, blk_row:3, blk_col:3, run_us:17505.966000, iter:1
conv_model, A:1024, B:1024, blk_row:3, blk_col:3, run_us:17365.523000, iter:1
conv_model, A:1024, B:1024, blk_row:3, blk_col:3, run_us:17139.879000, iter:1
conv_model, A:1024, B:1024, blk_row:3, blk_col:3, run_us:17503.371000, iter:1
conv_model, A:1024, B:1024, blk_row:3, blk_col:3, run_us:17175.046000, iter:1
conv_model, A:1024, B:1024, blk_row:3, blk_col:3, run_us:17384.638000, iter:1
conv_model, A:1024, B:1024, blk_row:3, blk_col:3, run_us:17304.447000, iter:1
conv_model, A:1024, B:1024, blk_row:3, blk_col:3, run_us:17791.662000, iter:1
conv_model, A:1024, B:1024, blk_row:3, blk_col:3, run_us:18061.668000, iter:1
conv_model, A:1024, B:1024, blk_row:3, blk_col:3, run_us:17166.709000, iter:1
conv_model, A:1024, B:1024, blk_row:3, blk_col:3, run_us:17828.290000, iter:1
conv_model, A:1024, B:1024, blk_row:3, blk_col:3, run_us:17581.728000, iter:1
conv_model, A:1024, B:1024, blk_row:3, blk_col:3, run_us:17564.365000, iter:1
conv_model, A:1024, B:1024, blk_row:3, blk_col:3, run_us:17448.257000, iter:1
conv_model, A:1024, B:1024, blk_row:3, blk_col:3, run_us:17850.562000, iter:1
conv_model, A:1024, B:1024, blk_row:3, blk_col:3, run_us:17847.616000, iter:1
conv_model, A:1024, B:1024, blk_row:3, blk_col:3, run_us:17786.111000, iter:1
conv_model, A:1024, B:1024, blk_row:3, blk_col:3, run_us:17332.060000, iter:1
conv_model, A:1024, B:1024, blk_row:3, blk_col:3, run_us:17460.781000, iter:1
conv_model, A:1024, B:1024, blk_row:3, blk_col:3, run_us:17438.268000, iter:1
conv_model, A:1024, B:1024, blk_row:3, blk_col:3, run_us:16901.111000, iter:1
conv_model, A:1024, B:1024, blk_row:3, blk_col:3, run_us:17216.513000, iter:1
conv_model, A:1024, B:1024, blk_row:3, blk_col:3, run_us:17471.902000, iter:1
conv_model, A:2048, B:2048, blk_row:3, blk_col:3, run_us:69135.497000, iter:1
